from	to
7240397	5085211
667883	5361479
667883	667883
9619147	4685471
7078744	5468536
6157515	3963013
6157515	3114765
5762613	4983450
5762613	6791223
5762613	4305277
10083414	2099607
2374138	1450609
8015346	5587428
8015346	5361479
6349472	2099607
1179925	1179925
1179925	3607203
1179925	2099607
1179925	2099607
6038900	2717128
8926217	3114765
10500621	5140223
10500621	3767239
10500621	1626564
2961270	4790871
5813490	3574081
5813490	2956066
9049053	9049053
5931447	1643939
3711985	2099607
4025749	3114765
445142	2097240
988709	4925151
988709	1090562
470184	6106129
818663	6937913
3830495	3994824
10020793	7483494
583464	2099607
5634425	5025377
8129236	4320693
2139625	2099607
470184	7602551
3946761	2099607
3946761	1626564
8669711	3979919
6277964	7443104
3052890	2099607
3052890	7953862
6533075	497600
3419427	3574081
3419427	7353970
3522130	349130
3522130	1329296
3522130	2099607
8188156	7943474
4406595	2099607
2247040	3994824
701338	1782792
4406595	2099607
4406595	9758922
5688175	9305450
5688175	1197860
639776	10353642
9749637	3607203
9749637	10025506
10253383	9191460
6166220	6166220
9144471	8858832
7866526	992489
8100895	2099607
4790871	2956066
9096553	2099607
1097347	2324271
8000479	4983450
8000479	1147398
7896849	9305450
7896849	1699075
5220257	2099607
6183298	1735003
6183298	2099607
7819329	3994824
7819329	3208297
1264018	1714410
4469265	3607203
7561372	8037585
10305819	5668710
10301457	1531463
5914897	5496463
5914897	1147398
1990276	1990276
1990276	1990276
10277696	3157209
8100895	9393102
8100895	1738214
8100895	8037585
5331881	6708503
6786718	5588279
6786718	6786718
10278110	3607203
7062483	2099607
4859982	2099607
4000693	1462770
8403981	5495381
4406595	7896849
4406595	2650622
5794690	3540982
5794690	8563649
9851811	9851811
9851811	5085211
1531248	5904928
1521933	2097240
7896849	5495381
7938316	10023182
7938316	366553
7938316	7938316
3653289	2723405
3979919	8926905
3076183	604734
5152497	4549682
3427580	2324271
6779006	1667840
9075609	2429640
3962073	2466336
3962073	1714410
3962073	2584518
1552585	2097240
8337739	5495381
8755792	1344369
8755792	1735003
5078993	2084384
5025377	5495381
7483494	7483494
893697	624547
8811242	6541612
5141702	3959018
3179768	3179768
5104026	1714410
6541612	9412325
9761720	2457853
9342893	2457853
8384788	3607203
7373736	969289
