user_id	user_type	display_name	reputation	link	profile_image	total_questions	total_answers	total_answered_questions	total_accepted_answers	total_max_upvote	total_answer_upvote	total_question_upvote	total_upvote_score
4758972	registered	Daniel	1221.0	https://stackoverflow.com/users/4758972/daniel	https://i.stack.imgur.com/bkTEz.png?s=128&g=1	0	2	0	1	1	1	3	0.3333333333333333
11683814	registered	Aquaman	11.0	https://stackoverflow.com/users/11683814/aquaman	https://www.gravatar.com/avatar/d2c7da53d1bf910e821b860845a8522a?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
7643503	registered	rajshekharM	1.0	https://stackoverflow.com/users/7643503/rajshekharm	https://www.gravatar.com/avatar/017a0307befc9cf27490d6066874b853?s=128&d=identicon&r=PG&f=1	2	0	0	0	0	0	0	
6811674	registered	Wubin	111.0	https://stackoverflow.com/users/6811674/wubin	https://www.gravatar.com/avatar/76b1bbd38e08f28c51ae3873c9b886e2?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
9966195	registered	sudheer naidu	65.0	https://stackoverflow.com/users/9966195/sudheer-naidu	https://lh6.googleusercontent.com/-NFyvpXvB8Ds/AAAAAAAAAAI/AAAAAAAAAB4/5M07vXELZHc/photo.jpg?sz=128	1	0	0	0	0	0	0	
8088148	registered	Disha Purohit	63.0	https://stackoverflow.com/users/8088148/disha-purohit	https://lh5.googleusercontent.com/-P0YaYgHTOCM/AAAAAAAAAAI/AAAAAAAABPg/qKzQ9wsgQ0g/photo.jpg?sz=128	1	0	0	0	0	0	0	
10938279	registered	Usman Abdur Rehman	32.0	https://stackoverflow.com/users/10938279/usman-abdur-rehman	https://graph.facebook.com/2043857209065550/picture?type=large	1	0	0	0	0	0	0	
8290269	registered	barters	47.0	https://stackoverflow.com/users/8290269/barters	https://www.gravatar.com/avatar/871b408a050cf57c528c1378d08b6fe4?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
4073665	registered	Manu Sharma	725.0	https://stackoverflow.com/users/4073665/manu-sharma	https://i.stack.imgur.com/0wJme.jpg?s=128&g=1	2	0	0	0	0	0	0	
10701497	registered	Vitrioil	169.0	https://stackoverflow.com/users/10701497/vitrioil	https://www.gravatar.com/avatar/647d8243bfbee5799e5b4937be4b2410?s=128&d=identicon&r=PG&f=1	0	2	0	0	0	0	1	0.0
4229637	registered	nirvair	2397.0	https://stackoverflow.com/users/4229637/nirvair	https://www.gravatar.com/avatar/434838ac925527d4fd55df733be89766?s=128&d=identicon&r=PG&f=1	4	0	4	0	0	0	0	
624547	registered	benjaminplanche	9187.0	https://stackoverflow.com/users/624547/benjaminplanche	https://www.gravatar.com/avatar/6b5bf1c3fde580f094fd3abef7dbf716?s=128&d=identicon&r=PG	1	9	1	8	6	61	149	0.4093959731543624
11338532	registered	Heewony	41.0	https://stackoverflow.com/users/11338532/heewony	https://lh6.googleusercontent.com/-YixYJtEEXtU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdqD1cxTE_kc-CX3jN_TmFFURdQ7w/mo/photo.jpg?sz=128	3	0	0	0	0	0	0	
11669095	registered	lucifer 	1.0	https://stackoverflow.com/users/11669095/lucifer	https://lh3.googleusercontent.com/-eyYEFVLlD54/AAAAAAAAAAI/AAAAAAAAEZw/3UAjWa6A7Lw/photo.jpg?sz=128	1	0	0	0	0	0	0	
5512439	registered	Matheus Arruda	185.0	https://stackoverflow.com/users/5512439/matheus-arruda	https://i.stack.imgur.com/q1YLF.jpg?s=128&g=1	2	0	2	0	0	0	0	
2962048	registered	zteffi	547.0	https://stackoverflow.com/users/2962048/zteffi	https://i.stack.imgur.com/XNIxJ.png?s=128&g=1	0	2	0	2	2	2	2	1.0
11023664	registered	Epic Gamers	23.0	https://stackoverflow.com/users/11023664/epic-gamers	https://lh3.googleusercontent.com/-m-0SZMKSeAI/AAAAAAAAAAI/AAAAAAAAK5I/xoeOK50R_ZI/photo.jpg?sz=128	1	0	0	0	0	0	0	
9193935	registered	JimmysCheeseSteak	3.0	https://stackoverflow.com/users/9193935/jimmyscheesesteak	https://www.gravatar.com/avatar/c49becface669dc51b5759681f0470be?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
10880612	registered	Shobhit Srivastava	49.0	https://stackoverflow.com/users/10880612/shobhit-srivastava	https://lh3.googleusercontent.com/-qcbojAp9c1o/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcbZMN47VOfqM7WE1-iJYJ7YTHQRPw/mo/photo.jpg?sz=128	1	0	1	0	0	0	0	
8841057	registered	Bob Smith	14684.0	https://stackoverflow.com/users/8841057/bob-smith	https://www.gravatar.com/avatar/4796c297c2b726df149e486e7d1fbb20?s=128&d=identicon&r=PG&f=1	0	4	0	1	2	8	9	0.8888888888888888
10953802	registered	Sean	1.0	https://stackoverflow.com/users/10953802/sean	https://graph.facebook.com/1916612328464534/picture?type=large	1	0	0	0	0	0	0	
1739137	registered	binmosa	497.0	https://stackoverflow.com/users/1739137/binmosa	https://i.stack.imgur.com/RrWRg.jpg?s=128&g=1	1	0	1	0	0	0	0	
10371987	registered	meowongac	550.0	https://stackoverflow.com/users/10371987/meowongac	https://www.gravatar.com/avatar/1d6c1c395b4b4b0ab8c7cb604f2c2a8d?s=128&d=identicon&r=PG	0	2	0	1	1	2	6	0.3333333333333333
2123328	registered	shekit	843.0	https://stackoverflow.com/users/2123328/shekit	https://www.gravatar.com/avatar/d53d8a43a2c4a7ac4254cbf7c6877500?s=128&d=identicon&r=PG	2	0	1	0	0	0	0	
2482752	registered	kekday	13.0	https://stackoverflow.com/users/2482752/kekday	https://www.gravatar.com/avatar/5fae4b20bded2e2979cbf932fd9d6d4b?s=128&d=identicon&r=PG	1	0	0	0	0	0	0	
9994816	registered	DevelopmentPeasant	97.0	https://stackoverflow.com/users/9994816/developmentpeasant	https://www.gravatar.com/avatar/de8213bd57ef3c330df0884b0638e7ac?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
10560104	registered	Nicolas Papernot	341.0	https://stackoverflow.com/users/10560104/nicolas-papernot	https://i.stack.imgur.com/t6q0k.jpg?s=128&g=1	0	2	0	1	1	1	1	1.0
11658739	registered	Lns Chandrakanth	3.0	https://stackoverflow.com/users/11658739/lns-chandrakanth	https://lh5.googleusercontent.com/-0ss-Zjc0KBQ/AAAAAAAAAAI/AAAAAAAAAWo/R_CAfNzNd30/photo.jpg?sz=128	1	0	1	0	0	0	0	
10387621	registered	bismillakhan s	11.0	https://stackoverflow.com/users/10387621/bismillakhan-s	https://lh4.googleusercontent.com/-M811f_cyALA/AAAAAAAAAAI/AAAAAAAAJAo/KkCYO76QqP4/photo.jpg?sz=128	1	0	0	0	0	0	0	
