from	to	weight
6666660	4867531	3.0
8234476	3954958	1.0
8234476	3954958	2.0
8234476	8234476	1.0
1417053	4785185	3.0
2610323	2610323	2.0
5904928	3574081	125.0
3147590	3574081	38.0
4841392	2956066	1.0
349130	5974433	6.0
5171213	5974433	5.0
4279227	8563649	2.0
1714410	4151395	2.0
8251036	4151395	1.0
9905470	2097240	5.0
2475195	2097240	2.0
7482867	4573275	4.0
7482867	4573275	7.0
5507905	5507905	2.0
3954958	1844390	58.0
4482655	1844390	40.0
7575552	9758922	1.0
9287711	8563649	2.0
3994228	2217210	44.0
6636290	2217210	30.0
2099607	7907205	8.0
7907205	7907205	3.0
2956066	3236925	1.0
3901871	691733	6.0
5651936	691733	1.0
691733	5297811	2.0
3901871	5297811	8.0
5651936	5297811	3.0
3417688	2097240	3.0
2411320	3633250	1.0
9698518	5825953	2.0
user9942241	5825953	2.0
9953596	2097240	2.0
5468985	8075709	1.0
5468985	8075709	1.0
3990607	3990607	25.0
5688175	604734	2.0
6796042	2097240	21.0
5129113	2097240	11.0
7984359	8143158	2.0
5063789	8143158	1.0
9238717	8334261	1.0
4196810	8563649	1.0
5904928	8793975	1.0
7430165	349130	3.0
1951176	419116	33.0
7297756	419116	10.0
3947361	9758922	2.0
5181947	712995	1.0
9527885	8501250	2.0
5834394	5056575	2.0
1538049	5056575	1.0
9871654	1538049	1.0
2093930	5352399	1.0
6761066	2658050	1.0
6878758	6878758	2.0
1610428	8143158	1.0
2956066	5098368	6.0
5098368	419116	48.0
2956066	419116	54.0
2452761	419116	27.0
8364914	9758922	1.0
5972246	8563649	1.0
5972246	5974433	1.0
9755419	4790871	2.0
9590820	7158702	1.0
6470853	7158702	2.0
6470853	9590820	1.0
7388586	1735003	2.0
7388586	9535747	2.0
3994824	2097240	4.0
1923086	2097240	2.0
9137052	4790871	8.0
user8566323	130288	4.0
7994236	7994236	5.0
1037845	562769	2.0
8485963	9758922	2.0
4974473	5974433	4.0
2097240	5974433	1.0
5171213	5974433	3.0
8376578	9535747	1.0
1446289	1626564	5.0
1446289	1626564	1.0
916691	2097240	1.0
5225453	5225453	1.0
5904928	4320693	2.0
562769	5234494	2.0
3994824	8805315	1.0
9364291	8805315	1.0
8526434	2097240	2.0
8241607	624547	2.0
5922381	349130	2.0
7280300	5974433	2.0
8553203	5974433	1.0
8375348	712995	2.0
3901871	2891324	30.0
1860369	1626564	1.0
2097240	567620	3.0
7796520	567620	1.0
9118677	8563649	2.0
1601580	2956066	2.0
9115663	5354373	1.0
9544630	7984359	1.0
1510542	5904928	1.0
3604136	349130	2.0
7433039	6095189	2.0
2990927	6095189	1.0
3291198	1531463	1.0
4356204	6729010	1.0
4871661	2237916	2.0
4802126	3990607	3.0
1932978	2848578	5.0
4098013	8563649	2.0
4098013	349130	2.0
2600357	1847419	3.0
8226050	1714410	1.0
7448860	1508542	1.0
7457101	9412325	1.0
8055061	3994824	2.0
3990607	4345535	2.0
8563649	2097240	2.0
5863689	2097240	2.0
507062	5708323	5.0
6734133	5708323	2.0
183123	1714410	5.0
3990607	3990607	11.0
5359882	5974433	2.0
222216	1714410	11.0
4380945	1714410	5.0
7759152	712995	1.0
8286720	2650622	3.0
712995	712995	4.0
8710510	3236925	1.0
5440222	3990607	2.0
3789200	9418446	3.0
3860928	3214872	3.0
7018582	5744361	1.0
8404593	5744361	3.0
8404593	7018582	2.0
6341510	3016988	3.0
2178942	4640905	1.0
6097525	3990607	2.0
170521	712995	7.0
7260404	3990607	1.0
7214344	869090	4.0
158652	158652	4.0
8015346	1782792	1.0
3152047	5559262	6.0
3574081	419116	9.0
4811003	419116	5.0
5499527	4789373	11.0
6185403	4789373	4.0
3701294	6095482	1.0
7228012	130288	4.0
3120870	349130	6.0
7248396	349130	5.0
3120870	349130	4.0
3120870	7248396	1.0
6185403	5536887	2.0
3679391	5630712	3.0
8176285	3990607	6.0
5200329	3990607	2.0
691733	3990607	25.0
5808490	3990607	10.0
9294070	3990607	2.0
8176285	3990607	1.0
774907	2956066	1.0
3104974	712995	3.0
