from	to
4276403	3603682
4276403	4276403
4276403	12444207
3192082	555045
3192082	4958717
10275890	10275890
10275890	684270
5855336	3556641
9875493	8885874
9875493	850848
9446361	9449544
9446361	9255099
9446361	9666817
9446361	1200914
9446361	12444207
9213958	2952395
9213958	508338
1115833	5143695
8058705	5370186
3901029	4620420
3901029	8543811
11495875	11530462
5005177	1566221
5005177	1061155
11523847	12515554
8317032	8317032
4127542	458741
4127542	3413092
4127542	10931964
4127542	11220315
4127542	10614423
4127542	10336411
4127542	4176649
4127542	11181334
4127542	8411263
4127542	12257274
4127542	1380994
4127542	12463202
2613005	user1251538250639614
8855629	2947378
8855629	5091805
9591860	12122607
4383245	3293881
9297798	7675470
5420229	11638084
2735174	8743099
11996332	9509346
11996332	10671109
5576930	11492024
5576930	12514132
10558944	6629669
user8358337	18243
user8358337	8881141
user8358337	9458126
user8358337	8663760
user8358337	10318385
user8358337	10472190
user8358337	4257943
user8358337	1115728
user8358337	9192711
user8358337	9200834
user8358337	3661767
user8358337	5897185
user8358337	9813194
5845205	7326738
5845205	6890912
5845205	6890912
3437787	4124317
4587681	7390366
4587681	12501914
4510954	10846255
5236124	624829
5236124	5003756
5236124	4871110
5236124	7388570
9599223	11581247
3238431	3238431
12003021	7583919
12003021	6690295
9260144	11438258
1424880	332059
1424880	3279307
1424880	4487782
1424880	11318360
4205270	11172475
4205270	9005016
11981718	11232091
11981718	8056102
6756587	7429447
6756587	7305183
9306906	9306906
9306906	10701227
9306906	3154274
10562450	10715563
10562450	5820814
10562450	9614260
6476201	104349
6476201	3848833
10031645	2901002
10031645	4098013
995862	10445829
8290233	6805396
8290233	4902099
8490053	4279120
8490053	10810208
8490053	5202279
8490053	9568358
8490053	5800969
8490053	11502612
8490053	4711754
8490053	12513520
8957025	8957025
8957025	1093963
328036	328036
328036	5091805
1011320	2449192
1011320	6858244
4288043	9288200
4288043	4881095
613540	6394722
1822671	8436879
1822671	11403457
1822671	5078847
10885223	5851928
10885223	4932316
10885223	11710237
8997796	4276090
8997796	369009
1201867	4377521
1201867	12138
2417204	8264778
2417204	1637351
2417204	837073
2417204	2826937
2417204	2903906
2417204	11203006
2417204	2903906
2417204	1754752
2252819	3043335
2252819	7801986
2252819	11136984
2252819	2350145
2252819	2685343
2252819	4467424
11564471	10722885
11564471	5407682
596495	5704863
10031645	4098013
9112585	3293881
9113910	10906068
9113910	3527420
3451339	10104362
3451339	7256341
3451339	8942966
3451339	1021819
9779288	9768643
9779288	10605551
9822994	5922920
9822994	4393969
9822994	4451315
9822994	7907671
9822994	6743440
9822994	51685
9822994	532312
6412513	6412513
3607203	3607203
1128088	850848
1128088	571517
1128088	2243682
5977437	12512035
4168794	3740545
10786478	10400041
8230738	3902974
8230738	10231802
8230738	1799284
8230738	3398492
8718803	314922
8718803	6832617
8718803	2384464
10731613	2896626
10731613	8745550
8861920	8424998
5654564	10041917
5654564	2653663
2743206	812183
2743206	2182710
2743206	9710526
2743206	9575715
2743206	7596504
2743206	3693173
2743206	9010059
2743206	6571826
2743206	10032958
2743206	10115378
2743206	8636829
2743206	7963358
2743206	10191878
2743206	3734477
2743206	895245
2743206	1404311
2743206	7780337
2743206	7103882
2743206	1635700
2743206	1225660
2743206	980687
2743206	1507649
2743206	659077
2743206	12711
2743206	6309012
2743206	7391092
2743206	1323471
2743206	4028102
2743206	9905745
2743206	3464971
6551439	532312
6374012	674039
6374012	4492932
6374012	376535
10301782	6301394
10301782	12511557
215487	215487
215487	14132
813466	1703112
4726625	874188
4726625	2133240
4726625	631911
2632266	10049134
1071847	364696
11856444	4759433
6740709	4759433
9384866	1995738
9384866	15862
2096883	5652313
2096883	207661
11158533	6342555
10829044	9937076
10829044	10852521
3742287	4074838
7462615	11032232
7462615	9081395
7515292	5357932
7515292	6245650
7515292	3152047
7515292	5993892
8156810	6464013
8156810	2480965
8156810	12341065
1558125	8008776
1558125	4471715
21499	562769
21499	11955945
21499	21499
11509150	11281341
11509150	11393245
11509150	8184860
11509150	12001122
11509150	11581109
6215949	1399222
10427660	10427660
6228056	4909087
6228056	6671176
6228056	9209546
216662	680740
216662	52817
216662	5992952
5769463	5769463
1065000	5829203
10097431	9590827
10097431	11273429
10097431	9235246
5149399	6253693
5149399	3639581
8172687	7326738
8172687	3185459
8172687	5364318
1179925	1179925
1179925	6534639
10157758	11682525
10157758	11691686
10157758	11244815
10157758	1358308
12045291	349130
12045291	11977985
12045291	12045291
11791278	9473643
9921627	1101203
9921627	8834490
9921627	fijo50785665
8191929	9794932
8191929	9603973
8191929	12271466
8191929	9158477
8191929	12282702
8191929	9254522
8191929	1009508
8301318	9212365
771848	771848
771848	953553
771848	7377460
7048431	deceze51762227
7048431	4647152
3079726	3791827
10463591	2937831
10463591	10463591
11906001	10320232
7549341	3968014
7549341	9061422
10970202	695377
10970202	10934417
4258483	2142055
4258483	4258483
4258483	295093
10216112	2553962
10559737	11963609
10559737	7310077
7159832	250025
7159832	7376918
5029818	3201632
5704562	3374996
5704562	11649795
7529256	4235469
7529256	11759958
7529256	11926308
10155271	142637
9717033	12507261
11958437	3462681
