from	to	weight
11136984	7801986	0.203703703704
2350145	7801986	0.0185185185185
2685343	7801986	0.0185185185185
4467424	7801986	0.0
10104362	7256341	0.285714285714
8942966	7256341	0.0
1021819	7256341	0.0
571517	850848	0.0
2243682	850848	0.0
10231802	3902974	0.333333333333
1799284	3902974	0.0666666666667
3398492	3902974	0.4
2182710	812183	0.0208588957055
9710526	812183	0.00368098159509
9575715	812183	0.080981595092
7596504	812183	0.00490797546012
3693173	812183	0.00613496932515
9010059	812183	0.00736196319018
6571826	812183	0.00245398773006
10032958	812183	0.00368098159509
10115378	812183	0.0
8636829	812183	0.116564417178
7963358	812183	0.0552147239264
10191878	812183	0.0
3734477	812183	0.0
895245	812183	0.0355828220859
1404311	812183	0.0110429447853
7780337	812183	0.00122699386503
7103882	812183	0.0208588957055
1635700	812183	0.00122699386503
1225660	812183	0.0
980687	812183	0.00245398773006
1507649	812183	0.0
659077	812183	0.0
12711	812183	0.0
6309012	812183	0.0
7391092	812183	0.0
1323471	812183	0.0
4028102	812183	0.0
9905745	812183	0.0
3464971	812183	0.0
215487	14132	0.857142857143
11032232	9081395	0.125
4471715	8008776	0.0
6671176	4909087	0.2
9209546	4909087	0.2
9590827	11273429	0.0
9235246	11273429	0.0
6253693	3639581	0.47619047619
7326738	3185459	0.142857142857
5364318	3185459	1.0
9603973	9794932	0.0
12271466	9794932	0.4
9158477	9794932	0.0
12282702	9794932	0.6
9254522	9794932	0.0
1009508	9794932	0.0
953553	771848	0.0
7377460	771848	0.0625
4647152	deceze51762227	0.75
11649795	3374996	0.0
2402281	11003083	0.4
7434365	17160	0.4
5701085	17160	0.0
3198235	17160	0.0
812183	5249307	0.333333333333
109618	1714410	0.6
9385203	1714410	0.2
10038165	7326738	0.25
6149357	7326738	0.375
9142590	7326738	0.125
10791730	1701416	0.125
10858457	1701416	0.375
6272956	1701416	0.0
6210807	1701416	0.0
10820672	1701416	0.0
10500330	1701416	0.0
11002096	1701416	0.0
9582871	1701416	0.125
9228901	1701416	0.0
8928244	1701416	0.0
11883248	2357112	0.0909090909091
8031479	624831	0.0
1175948	624831	0.0
254103	624831	0.428571428571
6633975	1581390	0.047619047619
6835092	1581390	0.0952380952381
11044933	1581390	0.0
2719377	1581390	0.0
6155733	10587171	0.230769230769
9999520	10587171	0.0
8255456	5003756	0.1
12501496	5003756	0.0
7235253	9313033	0.923076923077
2069071	1600898	0.142857142857
10748501	10750805	0.0454545454545
8931089	10750805	0.0227272727273
6519334	10750805	0.0
9476653	10750805	0.0
10580958	10750805	0.204545454545
9666550	10750805	0.0909090909091
5671926	10750805	0.0
9295300	10750805	0.0681818181818
8467946	10750805	0.0
5858260	10750805	0.0227272727273
7658051	10750805	0.0681818181818
6306375	10750805	0.136363636364
4987005	10750805	0.0
11408389	10750805	0.0
Hritik kumar53637182	10750805	0.0
10871278	10750805	0.272727272727
10086634	10750805	0.0
9925236	10750805	0.0
10016058	10750805	0.0
12025373	10750805	0.113636363636
12052469	10750805	0.0227272727273
5328951	10750805	0.0
9109799	10750805	0.0
4502537	10750805	0.0
10448129	10750805	0.0
6701196	10750805	0.0
10061482	3397819	0.4
1609925	3397819	0.0
254436	3397819	0.0
6671176	6243352	0.142857142857
3487040	6243352	0.142857142857
10708483	6243352	0.0
4909087	5741205	0.571428571429
7964527	5741205	0.428571428571
3344221	5741205	0.142857142857
9603571	4124317	0.25
9586134	4124317	0.583333333333
3952030	4124317	0.0166666666667
3020051	4124317	0.0333333333333
11154841	4124317	0.0
1487355	3005167	0.142857142857
5391248	7384740	0.25
4942590	3265828	0.0
1586947	3265828	0.0714285714286
2134991	1977620	0.0
20862	1977620	0.384615384615
3483203	2336654	0.8
7964527	2336654	0.6
3704368	2336654	0.0
3180386	2336654	0.0
1055279	5555052	0.2
2025949	5555052	0.4
12491741	5555052	0.1
7454639	2901002	0.444444444444
12491510	2901002	0.0
ShuehCheng Hu53581023	458214	0.2
10843558	458214	0.1
5581699	458214	0.0
12491029	458214	0.0
3895259	4478977	0.166666666667
9517224	4478977	0.0
5695018	9209546	0.428571428571
1008596	1617295	0.0
6174268	1617295	0.625
620672	1617295	0.0
